Prix,Achat_Tot,Date,Part_Strat
112.0,21.0,6.0,0.51
164.0,8.0,7.0,0.51
75.0,30.0,8.0,0.51
170.0,10.0,9.0,0.51
187.0,10.0,10.0,0.51
96.0,30.0,11.0,0.51
201.0,2.0,12.0,0.51
82.0,30.0,1.0,0.52
72.0,30.0,2.0,0.52
220.0,0.0,3.0,0.52
193.0,1.0,4.0,0.52
217.0,1.0,5.0,0.52
165.0,9.0,6.0,0.52
92.0,30.0,7.0,0.52
179.0,7.0,8.0,0.52
119.0,6.0,9.0,0.52
94.0,30.0,10.0,0.52
131.0,7.0,11.0,0.52
83.0,5.0,12.0,0.52
156.0,9.0,1.0,0.53
96.0,30.0,2.0,0.53
160.0,3.0,3.0,0.53
177.0,7.0,4.0,0.53
226.0,0.0,5.0,0.53
95.0,30.0,6.0,0.53
192.0,8.0,7.0,0.53
126.0,8.0,8.0,0.53
120.0,20.0,9.0,0.53
89.0,30.0,10.0,0.53
185.0,5.0,11.0,0.53
147.0,16.0,12.0,0.53
203.0,1.0,1.0,0.54
111.0,27.0,2.0,0.54
127.0,1.0,3.0,0.54
101.0,19.0,4.0,0.54
223.0,2.0,5.0,0.54
153.0,4.0,6.0,0.54
222.0,1.0,7.0,0.54
168.0,6.0,8.0,0.54
147.0,21.0,9.0,0.54
195.0,10.0,10.0,0.54
133.0,22.0,11.0,0.54
97.0,10.0,12.0,0.54
203.0,0.0,1.0,0.55
114.0,22.0,2.0,0.55
180.0,0.0,3.0,0.55
113.0,19.0,4.0,0.55
209.0,1.0,5.0,0.55
86.0,30.0,6.0,0.55
205.0,3.0,7.0,0.55
77.0,30.0,8.0,0.55
204.0,2.0,9.0,0.55
81.0,30.0,10.0,0.55
137.0,2.0,11.0,0.55
95.0,3.0,12.0,0.55
86.0,30.0,1.0,0.56
166.0,1.0,2.0,0.56
82.0,30.0,3.0,0.56
212.0,1.0,4.0,0.56
157.0,6.0,5.0,0.56
191.0,3.0,6.0,0.56
84.0,30.0,7.0,0.56
77.0,30.0,8.0,0.56
139.0,9.0,9.0,0.56
70.0,30.0,10.0,0.56
225.0,3.0,11.0,0.56
150.0,5.0,12.0,0.56
161.0,3.0,1.0,0.57
211.0,1.0,2.0,0.57
175.0,1.0,3.0,0.57
225.0,3.0,4.0,0.57
169.0,17.0,5.0,0.57
111.0,24.0,6.0,0.57
195.0,4.0,7.0,0.57
183.0,5.0,8.0,0.57
207.0,6.0,9.0,0.57
91.0,30.0,10.0,0.57
132.0,17.0,11.0,0.57
129.0,16.0,12.0,0.57
176.0,13.0,1.0,0.58
165.0,10.0,2.0,0.58
202.0,0.0,3.0,0.58
186.0,2.0,4.0,0.58
119.0,19.0,5.0,0.58
228.0,1.0,6.0,0.58
162.0,5.0,7.0,0.58
85.0,30.0,8.0,0.58
100.0,28.0,9.0,0.58
160.0,13.0,10.0,0.58
112.0,4.0,11.0,0.58
102.0,10.0,12.0,0.58
171.0,4.0,1.0,0.59
164.0,2.0,2.0,0.59
85.0,30.0,3.0,0.59
169.0,7.0,4.0,0.59
126.0,7.0,5.0,0.59
216.0,1.0,6.0,0.59
89.0,30.0,7.0,0.59
159.0,9.0,8.0,0.59
134.0,7.0,9.0,0.59
110.0,21.0,10.0,0.59
104.0,22.0,11.0,0.59
147.0,9.0,12.0,0.59
160.0,13.0,1.0,0.6
202.0,1.0,2.0,0.6
141.0,20.0,3.0,0.6
215.0,0.0,4.0,0.6
206.0,3.0,5.0,0.6
152.0,19.0,6.0,0.6
215.0,1.0,7.0,0.6
146.0,21.0,8.0,0.6
97.0,30.0,9.0,0.6
116.0,7.0,10.0,0.6
228.0,7.0,11.0,0.6
175.0,19.0,12.0,0.6
147.0,18.0,1.0,0.61
149.0,4.0,2.0,0.61
205.0,2.0,3.0,0.61
74.0,30.0,4.0,0.61
86.0,30.0,5.0,0.61
121.0,3.0,6.0,0.61
76.0,30.0,7.0,0.61
84.0,30.0,8.0,0.61
164.0,5.0,9.0,0.61
214.0,6.0,10.0,0.61
174.0,11.0,11.0,0.61
144.0,14.0,12.0,0.61
118.0,9.0,1.0,0.62
113.0,3.0,2.0,0.62
221.0,0.0,3.0,0.62
119.0,4.0,4.0,0.62
219.0,3.0,5.0,0.62
129.0,7.0,6.0,0.62
192.0,6.0,7.0,0.62
111.0,21.0,8.0,0.62
79.0,30.0,9.0,0.62
203.0,2.0,10.0,0.62
220.0,5.0,11.0,0.62
163.0,17.0,12.0,0.62
217.0,1.0,1.0,0.63
163.0,5.0,2.0,0.63
78.0,30.0,3.0,0.63
113.0,2.0,4.0,0.63
196.0,3.0,5.0,0.63
175.0,4.0,6.0,0.63
176.0,11.0,7.0,0.63
124.0,21.0,8.0,0.63
105.0,20.0,9.0,0.63
104.0,24.0,10.0,0.63
96.0,22.0,11.0,0.63
152.0,0.0,12.0,0.63
113.0,24.0,1.0,0.64
187.0,4.0,2.0,0.64
216.0,1.0,3.0,0.64
182.0,7.0,4.0,0.64
213.0,3.0,5.0,0.64
105.0,22.0,6.0,0.64
144.0,5.0,7.0,0.64
165.0,5.0,8.0,0.64
168.0,10.0,9.0,0.64
108.0,23.0,10.0,0.64
94.0,30.0,11.0,0.64
207.0,4.0,12.0,0.64
72.0,30.0,1.0,0.65
177.0,1.0,2.0,0.65
124.0,3.0,3.0,0.65
135.0,2.0,4.0,0.65
131.0,3.0,5.0,0.65
186.0,6.0,6.0,0.65
165.0,7.0,7.0,0.65
103.0,23.0,8.0,0.65
137.0,6.0,9.0,0.65
159.0,13.0,10.0,0.65
96.0,30.0,11.0,0.65
227.0,8.0,12.0,0.65
172.0,6.0,1.0,0.66
104.0,26.0,2.0,0.66
155.0,4.0,3.0,0.66
183.0,6.0,4.0,0.66
91.0,30.0,5.0,0.66
148.0,3.0,6.0,0.66
204.0,1.0,7.0,0.66
82.0,30.0,8.0,0.66
197.0,4.0,9.0,0.66
110.0,12.0,10.0,0.66
167.0,13.0,11.0,0.66
169.0,17.0,12.0,0.66
96.0,30.0,1.0,0.67
111.0,2.0,2.0,0.67
143.0,2.0,3.0,0.67
94.0,30.0,4.0,0.67
